indicator,pearson_r
Academic Reputation,0.8994830052727472
Employer Reputation,0.8003909742627345
Sustainability Score,0.6182679606678003
Employment Outcomes,0.6132486403862037
International Research Network,0.4949116627037816
Citations per Faculty,0.48399181669560354
International Student Ratio,0.3978888320185241
International Faculty Ratio,0.3753364168163308
Faculty Student Ratio,0.3218304743348521
