indicator,labelled_mean,unlabelled_mean,standardised_gap
Sustainability Score,66.09943262411348,38.0340425531915,1.7800970106345195
Academic Reputation,42.09602836879432,11.333416770963705,1.6122776974143394
Citations per Faculty,49.64283687943262,13.565707133917396,1.525641778888972
Employer Reputation,43.01163120567375,12.699624530663328,1.4770060294606806
International Research Network,71.27517730496454,37.53992490613267,1.436838650661772
Employment Outcomes,44.92312056737589,16.709887359199,1.1028968412580042
International Faculty Ratio,52.73390070921985,19.975219023779726,1.081917555791953
International Student Ratio,47.711773049645394,20.003629536921153,0.9442285247480746
Faculty Student Ratio,42.02269503546099,26.89949937421777,0.5512697643355043
