set,n,supported,supported_pct,distance_median,distance_p95,threshold
labelled,700,690,98.5714285714286,1.32225843175471,1.85985582660016,2.12112478446518
unlabelled,804,503,62.5621890547264,1.95426647858913,2.93925302337874,2.12112478446518
