indicator,qs_published,recovered,abs_error
Academic Reputation,0.3,0.299867668030443,0.000132331969556532
Citations per Faculty,0.2,0.200017841040788,1.78410407882246e-05
Employer Reputation,0.15,0.150177405554043,0.000177405554042581
Faculty Student Ratio,0.1,0.100057281398126,5.72813981257747e-05
International Faculty Ratio,0.05,0.0499987427710934,1.25722890656488e-06
International Student Ratio,0.05,0.0500335365732446,3.35365732445636e-05
International Research Network,0.05,0.0500906019738455,9.06019738455416e-05
Employment Outcomes,0.05,0.0499730686771536,2.69313228463963e-05
Sustainability Score,0.05,0.0497838539812628,0.000216146018737165
