indicator,qs_published,recovered,pearson_r
Academic Reputation,0.3,0.300674408269629,0.904965187072163
Citations per Faculty,0.2,0.198438788996275,0.493507290524709
Employer Reputation,0.15,0.150658528868752,0.78589837634566
Faculty Student Ratio,0.1,0.0982467586458073,0.312007709531462
International Faculty Ratio,0.05,0.0488729783215407,0.381638952331517
International Student Ratio,0.05,0.0520054372859152,0.405226348439612
International Research Network,0.05,0.0497197184956736,0.518192914019754
Employment Outcomes,0.05,0.0502276912520203,0.647535861269317
Sustainability Score,0.05,0.0511556898643871,0.669819246019074
