fit,rmse,mae,r2,n
QS published weighting (no fit),0.976104282769562,0.805866875522134,0.997263696330693,700
linear_raw,0.555528495238978,0.170581378346244,0.999113692269551,700
linear_renorm,0.385188505451451,0.0701020761099782,0.999573893171807,700
