indicator,qs_published,recovered,abs_error
Academic Reputation,0.3,0.300674408269629,0.000674408269629279
Citations per Faculty,0.2,0.198438788996275,0.00156121100372533
Employer Reputation,0.15,0.150658528868752,0.000658528868751868
Faculty Student Ratio,0.1,0.0982467586458073,0.00175324135419273
International Faculty Ratio,0.05,0.0488729783215407,0.00112702167845927
International Student Ratio,0.05,0.0520054372859152,0.00200543728591517
International Research Network,0.05,0.0497197184956736,0.00028028150432638
Employment Outcomes,0.05,0.0502276912520203,0.000227691252020268
Sustainability Score,0.05,0.0511556898643871,0.00115568986438713
