indicator,pearson_r
Academic Reputation,0.899483005272746
Employer Reputation,0.800390974262734
Sustainability Score,0.6182679606678
Employment Outcomes,0.613248640386204
International Research Network,0.494911662703782
Citations per Faculty,0.483991816695604
International Student Ratio,0.397888832018524
International Faculty Ratio,0.375336416816331
Faculty Student Ratio,0.321830474334852
