indicator,labelled_mean,unlabelled_mean,standardised_gap
Sustainability Score,66.0994326241135,38.0340425531915,1.78009701063452
Academic Reputation,42.0960283687943,11.3334167709637,1.61227769741434
Citations per Faculty,49.6428368794326,13.5657071339174,1.52564177888897
Employer Reputation,43.0116312056738,12.6996245306633,1.47700602946068
International Research Network,71.2751773049645,37.5399249061327,1.43683865066177
Employment Outcomes,44.9231205673759,16.709887359199,1.102896841258
International Faculty Ratio,52.7339007092199,19.9752190237797,1.08191755579195
International Student Ratio,47.7117730496454,20.0036295369212,0.944228524748075
Faculty Student Ratio,42.022695035461,26.8994993742178,0.551269764335505
